"EMD-","Status","Entry Title","Entry Authors","Deposit Date","Resolution (Å)","Associated PDB","Citation Title"
"0001","REL","Cryo-EM structure of bacterial RNA polymerase-sigma54 holoenzyme transcription open complex","Glyde R, Ye FZ, Zhang XD","2018-05-04","3.4","6gh5","Structures of Bacterial RNA Polymerase Complexes Reveal the Mechanism of DNA Loading and Transcription Initiation."
"0004","REL","Saccharomyces cerevisiae respiratory supercomplex III2IV","Rathore S, Berndtsson J, Conrad J, Ott M","2018-05-15","3.2","6giq","Cryo-EM structure of the yeast respiratory supercomplex."
"0005","REL","Saccharomyces cerevisiae supercomplex class 1 (III2IV)","Rathore S, Berndtsson J, Conrad J, Ott M","2018-05-15","3.3","","Cryo-EM structure of the yeast respiratory supercomplex."
"0006","REL","Saccharomyces cerevisiae supercomplex class2 (III2IV2)","Rathore S, Berndtsson J, Conrad J, Ott M","2018-05-15","3.5","","Cryo-EM structure of the yeast respiratory supercomplex."
"0011","REL","Structure of Mycobacterium tuberculosis Fatty Acid Synthase - I","Elad N, Baron S, Shakked Z, Zimhony O, Diskin R","2018-05-16","3.3","6gjc","Structure of Type-I Mycobacterium tuberculosis fatty acid synthase at 3.3 angstrom resolution."
"0020","REL","Hexameric cytochrome c nitrite reductase from the bacterium Thioalkalivibrio nitratireducens (TvNiR)","Baymukhametov TN, Chesnokov YM, Pichkur EB, Boyko KM, Tikhonova TV, Myasnikov AG, Vasiliev AL, Lipkin AV, Popov VO, Kovalchuk MV","2018-05-18","2.6","","Three-Dimensional Structure of Cytochrome c Nitrite Reductase As Determined by Cryo-Electron Microscopy."
"0025","REL","Influenza hemagglutinin (HA) trimer reconstruction at 3.2 Angstrom resolution using data from EMPIAR-10097 processed with Warp and cryoSPARC","Tegunov D, Cramer P","2018-05-22","3.2","","Real-time cryo-electron microscopy data preprocessing with Warp."
"0030","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6 (Map B  NGN/SPT4 selected particles)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.3","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0031","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6 (Map A)","Vos SM, Farnung L, Boehing M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.1","6gmh","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0032","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  KOW1 selected particles (Map C)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.5","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0033","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  KOWx-4 selected particles (Map D)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.2","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0034","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  SPT6 core selected particles (Map E)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.3","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0035","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  selected SPT6 tSH2 particles (Map F)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.5","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0036","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  upstream DNA selected particles (Map G)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.1","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0037","REL","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  CTR9 selected particles (Map H)","Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P","2018-05-26","3.3","","Structure of activated transcription complex Pol II-DSIF-PAF-SPT6."
"0038","REL","Structure of paused transcription complex Pol II-DSIF-NELF","Vos SM, Farnung L, Urlaub H, Cramer P","2018-05-27","3.2","6gml","Structure of paused transcription complex Pol II-DSIF-NELF."
