PDB ID,Resolution,Linear Min. Error,Linear Max. Error,Linear MAE,Neural Min. Error,Neural Max. Error,Neural MAE
6lyp,3.3,-0.977935791015625,1.0050829648971558,0.10212337970733643,-0.30275478959083557,0.38203686475753784,0.009959844872355461
5u0a,3.3,3.4356933507500204e-17,1.0149363279342651,0.069647878408432,-0.32328107953071594,0.5354949831962585,0.010050318203866482
6fhl,3.3,-0.9698633551597595,1.0077767372131348,0.09206139296293259,-0.25994136929512024,0.34315627813339233,0.008634421043097973
6xit,3.3,-0.9843499660491943,1.004089117050171,0.0905735045671463,-0.2293943464756012,0.3495716154575348,0.008289855904877186
6gtg,3.3,-0.9727807641029358,1.00547194480896,0.09569445997476578,-0.31998807191848755,0.3027937412261963,0.008778846822679043
6f0k,3.9,-0.9731642603874207,1.014851450920105,0.10384867340326309,-0.3262067437171936,0.3956454396247864,0.01000056229531765
6d6t,3.9,-0.9776298403739929,1.0081886053085327,0.10079444199800491,-0.3647063970565796,0.665861964225769,0.011242161504924297
5ll6,3.9,-0.976574182510376,1.1097681522369385,0.08849577605724335,-0.332233190536499,0.5974260568618774,0.009791349992156029
6caa,3.9,-0.9596177935600281,1.0132495164871216,0.0913655087351799,-0.22866582870483398,0.26510918140411377,0.008664899505674839
5fj8,3.9,-0.9728718400001526,1.012799620628357,0.0991533175110817,-0.36163946986198425,0.502138614654541,0.009563478641211987
6tte,2.2,-0.9565674066543579,1.0053493976593018,0.059788890182971954,-0.3353767991065979,0.5967820882797241,0.00785154290497303
6drv,2.2,-0.9228918552398682,1.003013014793396,0.04659087210893631,-0.2762855589389801,0.5184635519981384,0.006972127128392458
6x8m,2.2,-0.13452395796775818,0.5201374292373657,0.011526582762598991,-0.334917277097702,0.713648796081543,0.00764492666348815
6kqk,2.2,-0.15390527248382568,0.5237948894500732,0.012170787900686264,-0.2667088210582733,0.4886363744735718,0.007009755354374647
6wz5,2.2,-0.9167667627334595,1.0069856643676758,0.0556158572435379,-0.2545594573020935,0.45551103353500366,0.007884577848017216
5zdh,3.2,-0.9706548452377319,0.9993722438812256,0.09343064576387405,-0.2874792516231537,0.4558107256889343,0.009136291220784187
6xey,3.2,-0.9618943333625793,1.0025016069412231,0.08240664750337601,-0.30515673756599426,0.3296021819114685,0.00869897659868002
3jcu,3.2,-0.9777565598487854,1.0113420486450195,0.07639293372631073,-0.3815576434135437,0.6278035044670105,0.010623272508382797
6k32,3.2,-0.9363672733306885,1.0227562189102173,0.06653433293104172,-0.36299020051956177,0.7735381722450256,0.009589661844074726
7jgs,3.2,-0.9758870005607605,1.0054831504821777,0.08209346234798431,-0.3244929313659668,0.6274569034576416,0.010113322176039219
6rtk,3.5,-0.1887345016002655,0.4483698606491089,0.018123116344213486,-0.4260648488998413,0.8368072509765625,0.01204693503677845
6sb3,3.5,-0.5141696333885193,1.0024701356887817,0.07740407437086105,-0.37789416313171387,0.5456691384315491,0.010356507264077663
6u5z,3.5,-0.9624881744384766,1.0039868354797363,0.11276734620332718,-0.501167356967926,0.5959272384643555,0.013561762869358063
6um1,3.5,-0.9401934742927551,1.008094310760498,0.07743091136217117,-0.30896899104118347,0.36888450384140015,0.008870637975633144
6uh5,3.5,-0.9408858418464661,1.0780185461044312,0.09740433841943741,-0.31230926513671875,0.44313347339630127,0.009666500613093376
6mrm,2.9,-0.11173789203166962,0.40304887294769287,0.008693376556038857,-0.21604880690574646,0.2842279374599457,0.006477854214608669
6v9q,2.9,-0.9736717939376831,1.0080840587615967,0.0628080815076828,-0.29653307795524597,0.3791618347167969,0.008172823116183281
7c2k,2.9,-0.9620540738105774,1.0071396827697754,0.08450130373239517,-0.2963808476924896,0.2741988003253937,0.00897902436554432
6oo3,2.9,-0.9711736440658569,1.0044214725494385,0.0736074298620224,-0.3338177502155304,0.3047219514846802,0.00885996874421835
6o7h,2.9,-0.9755300879478455,1.0061323642730713,0.08066311478614807,-0.899330735206604,0.583726167678833,0.014947113581001759
6p7m,3.0,-0.9394173622131348,1.005521535873413,0.07269469648599625,-0.2814682126045227,0.4505038559436798,0.008014300838112831
7ji0,3.0,-0.9112045764923096,1.0067790746688843,0.07952788472175598,-0.2008417844772339,0.21651005744934082,0.005982869304716587
6jhs,3.0,-0.9543883800506592,0.9999942779541016,0.07636018097400665,-0.35309696197509766,0.6695067286491394,0.01004869770258665
7cq6,3.0,-0.9629498720169067,1.001450777053833,0.09327826648950577,-0.28524118661880493,0.4461631178855896,0.007771613076329231
7d0i,3.0,-0.9340381026268005,1.0023083686828613,0.08280088752508163,-0.3226475417613983,0.746731698513031,0.009393816813826561
6uvr,4.0,-0.9724156856536865,1.0104233026504517,0.11472593247890472,-0.2274560034275055,0.33960282802581787,0.009617776609957218
6uye,4.0,-0.9660101532936096,1.009240984916687,0.12104705721139908,-0.36778897047042847,0.691232442855835,0.010413928888738155
6qb8,4.0,-0.9709762930870056,1.0077139139175415,0.11932534724473953,-0.42956534028053284,0.7809824347496033,0.011400888673961163
5wsg,4.0,-0.9593064188957214,1.023513674736023,0.09026435762643814,-0.5220869183540344,0.677953839302063,0.011310126632452011
6rqt,4.0,-0.9778102040290833,1.0212836265563965,0.11708388477563858,-0.5558076500892639,0.5952272415161133,0.013573704287409782
6fq5,3.8,-0.9644306898117065,1.0096713304519653,0.10672580450773239,-0.20734348893165588,0.23111861944198608,0.007497851271182299
4uy8,3.8,-0.9494364857673645,1.0745197534561157,0.07056482136249542,-0.3728373348712921,0.5340940952301025,0.00859799049794674
6rev,3.8,-0.4931315779685974,0.616648256778717,0.03956511244177818,-0.34451737999916077,0.4367542862892151,0.009503507055342197
5ld2,3.8,-0.9588375687599182,1.0179349184036255,0.11930656433105469,-0.38255321979522705,0.5539357662200928,0.011555483564734459
3j80,3.8,-0.9827450513839722,1.009130597114563,0.08776659518480301,-0.3605606257915497,0.7120800018310547,0.01017582044005394
6rpk,2.8,-0.16189250349998474,0.47691404819488525,0.01448238454759121,-0.49274909496307373,0.8138687610626221,0.009253684431314468
6roh,2.8,-0.9494240283966064,1.0051440000534058,0.07270310819149017,-0.32916224002838135,0.3001834750175476,0.0078807407990098
6tar,2.8,-0.9700809121131897,1.0023585557937622,0.07813356816768646,-0.3613341450691223,0.590890109539032,0.010123996995389462
6pb1,2.8,-0.9632012248039246,1.002197265625,0.06482909619808197,-0.2763291597366333,0.464810311794281,0.008211910724639893
6rfl,2.8,-0.9590064883232117,1.0045007467269897,0.07181226462125778,-0.3107813000679016,0.6370291709899902,0.009182932786643505
6k15,3.4,-0.9541913270950317,1.0053801536560059,0.08204077184200287,-0.306522935628891,0.5319724082946777,0.009719710797071457
6nq2,3.4,-0.9651433229446411,1.0051299333572388,0.09307841956615448,-0.3197830021381378,0.47809669375419617,0.008915645070374012
6p6j,3.4,-0.9616231322288513,1.0116785764694214,0.09277915954589844,-0.2523350715637207,0.2826853394508362,0.008205307647585869
5g05,3.4,-0.7505216002464294,1.0269012451171875,0.07137662172317505,-0.2510739862918854,0.37819603085517883,0.008175981231033802
6ven,3.4,-0.9605541229248047,1.0041439533233643,0.07311078906059265,-0.30658504366874695,0.42513883113861084,0.009366217069327831
6rui,2.7,-0.9892440438270569,1.004372000694275,0.07408522814512253,-0.288099467754364,0.4984588325023651,0.009067573584616184
6uiw,2.7,-0.9548728466033936,1.0040193796157837,0.0659899041056633,-0.2812291383743286,0.6471052169799805,0.009220674633979797
6kac,2.7,-0.9660982489585876,1.004396915435791,0.056324876844882965,-0.3329348862171173,0.5396908521652222,0.008709654211997986
6m22,2.7,-0.9643845558166504,1.0069971084594727,0.0745156779885292,-0.2739229202270508,0.34682756662368774,0.008584082126617432
6yj4,2.7,-0.958096444606781,1.0044916868209839,0.06466461718082428,-0.3074715733528137,0.7618000507354736,0.009309091605246067
6vwx,3.1,-0.9237189888954163,1.0042413473129272,0.0766143649816513,-0.2895731031894684,0.3623971939086914,0.008281119167804718
6vm0,3.1,-0.974419116973877,1.0071420669555664,0.08830299973487854,-0.27767205238342285,0.41791293025016785,0.008645238354802132
6nbq,3.1,-0.9712478518486023,1.0058239698410034,0.08033941686153412,-0.34090790152549744,0.7128923535346985,0.01096052024513483
6wsl,3.1,-0.962204098701477,1.0011957883834839,0.07691098749637604,-0.3025800585746765,0.42242947220802307,0.008987917564809322
6fkf,3.1,-0.9619466066360474,1.0159696340560913,0.08414255082607269,-0.500422477722168,0.5819858908653259,0.014422055333852768
6k61,2.4,-0.9341036081314087,1.0021241903305054,0.04978572204709053,-0.3015235364437103,0.5155072808265686,0.007831951603293419
6m15,2.4,-0.955822229385376,1.006528615951538,0.06245779991149902,-0.30426204204559326,0.5599290132522583,0.008001747541129589
6nz0,2.4,-0.14802177250385284,0.523361086845398,0.012582344934344292,-0.40298452973365784,0.8842154741287231,0.008450152352452278
6szu,2.4,-0.8669087290763855,1.3100519180297852,0.04124397411942482,-0.2917925715446472,0.414867103099823,0.005357052199542522
